epoch,input_type,metric_name,layer,value
0,train,loss,,4.7265625
0,test,loss,,4.7265625
0,train,accuracy,,0.008223469520950268
0,test,accuracy,,0.009201252936570085
0,general,weights_l2,layers.0.weight,8.17325496673584
0,general,weights_l2,layers.1.weight,8.174415588378906
0,general,weights_l2,layers.2.weight,6.123099327087402
0,train,zero_terms,,0.0
0,train,softmax_collapse,,0.0
1,train,loss,,4.71875
1,test,loss,,4.734375
1,train,accuracy,,0.014619501370578254
1,test,accuracy,,0.0037196554424432263
1,general,weights_l2,layers.0.weight,8.3696870803833
1,general,weights_l2,layers.1.weight,8.370565414428711
1,general,weights_l2,layers.2.weight,6.382671356201172
1,train,zero_terms,,0.0
1,train,softmax_collapse,,0.0
2,train,loss,,4.70703125
2,test,loss,,4.7578125
2,train,accuracy,,0.016446939041900536
2,test,accuracy,,0.0031323414252153485
2,general,weights_l2,layers.0.weight,9.05239486694336
2,general,weights_l2,layers.1.weight,9.0526704788208
2,general,weights_l2,layers.2.weight,7.254251480102539
2,train,zero_terms,,0.0
2,train,softmax_collapse,,0.0
3,train,loss,,4.66796875
3,test,loss,,4.80078125
3,train,accuracy,,0.025192533611800027
3,test,accuracy,,0.0007830853563038371
3,general,weights_l2,layers.0.weight,10.567536354064941
3,general,weights_l2,layers.1.weight,10.567048072814941
3,general,weights_l2,layers.2.weight,9.07412338256836
3,train,zero_terms,,0.0
3,train,softmax_collapse,,0.0
4,train,loss,,4.47265625
4,test,loss,,5.0546875
4,train,accuracy,,0.05260409868163425
4,test,accuracy,,0.0
4,general,weights_l2,layers.0.weight,14.797429084777832
4,general,weights_l2,layers.1.weight,14.795870780944824
4,general,weights_l2,layers.2.weight,13.770777702331543
4,train,zero_terms,,0.0
4,train,softmax_collapse,,0.0
5,train,loss,,3.70703125
5,test,loss,,6.328125
5,train,accuracy,,0.15507113953791934
5,test,accuracy,,0.00019577133907595928
5,general,weights_l2,layers.0.weight,24.836055755615234
5,general,weights_l2,layers.1.weight,24.854843139648438
5,general,weights_l2,layers.2.weight,24.234540939331055
5,train,zero_terms,,0.0
5,train,softmax_collapse,,0.0
6,train,loss,,0.86572265625
6,test,loss,,5.37109375
6,train,accuracy,,0.8286124526824175
6,test,accuracy,,0.02956147220046985
6,general,weights_l2,layers.0.weight,37.77846908569336
6,general,weights_l2,layers.1.weight,41.40667724609375
6,general,weights_l2,layers.2.weight,39.356231689453125
6,train,zero_terms,,0.0
6,train,softmax_collapse,,0.0
7,train,loss,,0.040985107421875
7,test,loss,,4.4375
7,train,accuracy,,1.0
7,test,accuracy,,0.1254894283476899
7,general,weights_l2,layers.0.weight,43.64448165893555
7,general,weights_l2,layers.1.weight,47.04927062988281
7,general,weights_l2,layers.2.weight,45.11505889892578
7,train,zero_terms,,0.0
7,train,softmax_collapse,,0.0015663751401007175
8,train,loss,,0.01678466796875
8,test,loss,,4.31640625
8,train,accuracy,,1.0
8,test,accuracy,,0.1577916992952232
8,general,weights_l2,layers.0.weight,45.25352478027344
8,general,weights_l2,layers.1.weight,48.5452995300293
8,general,weights_l2,layers.2.weight,46.67317199707031
8,train,zero_terms,,0.0
8,train,softmax_collapse,,0.006657094229012728
9,train,loss,,0.0099029541015625
9,test,loss,,4.2578125
9,train,accuracy,,1.0
9,test,accuracy,,0.17717306186374315
9,general,weights_l2,layers.0.weight,46.16032791137695
9,general,weights_l2,layers.1.weight,49.39162063598633
9,general,weights_l2,layers.2.weight,47.552860260009766
9,train,zero_terms,,0.0
9,train,softmax_collapse,,0.015141626819968224
10,train,loss,,0.006801605224609375
10,test,loss,,4.2265625
10,train,accuracy,,1.0
10,test,accuracy,,0.18931088488645262
10,general,weights_l2,layers.0.weight,46.79234313964844
10,general,weights_l2,layers.1.weight,49.982765197753906
10,general,weights_l2,layers.2.weight,48.166603088378906
10,train,zero_terms,,0.0
10,train,softmax_collapse,,0.024931471794843674
11,train,loss,,0.00507354736328125
11,test,loss,,4.203125
11,train,accuracy,,1.0
11,test,accuracy,,0.1985121378230227
11,general,weights_l2,layers.0.weight,47.2784309387207
11,general,weights_l2,layers.1.weight,50.4380989074707
11,general,weights_l2,layers.2.weight,48.63895797729492
11,train,zero_terms,,0.0
11,train,softmax_collapse,,0.03576556593179703
12,train,loss,,0.003986358642578125
12,test,loss,,4.1875
12,train,accuracy,,1.0
12,test,accuracy,,0.20614722004698513
12,general,weights_l2,layers.0.weight,47.67531967163086
12,general,weights_l2,layers.1.weight,50.810302734375
12,general,weights_l2,layers.2.weight,49.024837493896484
12,train,zero_terms,,0.0
12,train,softmax_collapse,,0.048427097499370575
13,train,loss,,0.0032501220703125
13,test,loss,,4.1796875
13,train,accuracy,,1.0
13,test,accuracy,,0.21182458888018793
13,general,weights_l2,layers.0.weight,48.01271057128906
13,general,weights_l2,layers.1.weight,51.12699890136719
13,general,weights_l2,layers.2.weight,49.35300827026367
13,train,zero_terms,,0.0
13,train,softmax_collapse,,0.06304659694433212
14,train,loss,,0.002719879150390625
14,test,loss,,4.171875
14,train,accuracy,,1.0
14,test,accuracy,,0.2169146436961629
14,general,weights_l2,layers.0.weight,48.306739807128906
14,general,weights_l2,layers.1.weight,51.40321731567383
14,general,weights_l2,layers.2.weight,49.63911437988281
14,train,zero_terms,,0.0
14,train,softmax_collapse,,0.07596919685602188
15,train,loss,,0.002323150634765625
15,test,loss,,4.171875
15,train,accuracy,,1.0
15,test,accuracy,,0.2206342991386061
15,general,weights_l2,layers.0.weight,48.569671630859375
15,general,weights_l2,layers.1.weight,51.65038299560547
15,general,weights_l2,layers.2.weight,49.89503479003906
15,train,zero_terms,,0.0
15,train,softmax_collapse,,0.08941391110420227
16,train,loss,,0.00201416015625
16,test,loss,,4.171875
16,train,accuracy,,1.0
16,test,accuracy,,0.22533281127642912
16,general,weights_l2,layers.0.weight,48.80826950073242
16,general,weights_l2,layers.1.weight,51.87480926513672
16,general,weights_l2,layers.2.weight,50.1273307800293
16,train,zero_terms,,0.0
16,train,softmax_collapse,,0.10677456855773926
17,train,loss,,0.0017709732055664062
17,test,loss,,4.17578125
17,train,accuracy,,1.0
17,test,accuracy,,0.22709475332811277
17,general,weights_l2,layers.0.weight,49.026248931884766
17,general,weights_l2,layers.1.weight,52.079959869384766
17,general,weights_l2,layers.2.weight,50.33961486816406
17,train,zero_terms,,0.0
17,train,softmax_collapse,,0.12296044826507568
18,train,loss,,0.0015735626220703125
18,test,loss,,4.1796875
18,train,accuracy,,1.0
18,test,accuracy,,0.23003132341425214
18,general,weights_l2,layers.0.weight,49.2290153503418
18,general,weights_l2,layers.1.weight,52.270877838134766
18,general,weights_l2,layers.2.weight,50.537113189697266
18,train,zero_terms,,0.0
18,train,softmax_collapse,,0.14149588346481323
19,train,loss,,0.00141143798828125
19,test,loss,,4.1875
19,train,accuracy,,1.0
19,test,accuracy,,0.23257635082223962
19,general,weights_l2,layers.0.weight,49.41878890991211
19,general,weights_l2,layers.1.weight,52.44964599609375
19,general,weights_l2,layers.2.weight,50.72200393676758
19,train,zero_terms,,0.0
19,train,softmax_collapse,,0.16381673514842987
20,train,loss,,0.0012750625610351562
20,test,loss,,4.19140625
20,train,accuracy,,1.0
20,test,accuracy,,0.23492560689115113
20,general,weights_l2,layers.0.weight,49.597354888916016
20,general,weights_l2,layers.1.weight,52.617923736572266
20,general,weights_l2,layers.2.weight,50.89600372314453
20,train,zero_terms,,0.0
20,train,softmax_collapse,,0.18522386252880096
21,train,loss,,0.0011587142944335938
21,test,loss,,4.19921875
21,train,accuracy,,1.0
21,test,accuracy,,0.2364917776037588
21,general,weights_l2,layers.0.weight,49.7685546875
21,general,weights_l2,layers.1.weight,52.77933120727539
21,general,weights_l2,layers.2.weight,51.062862396240234
21,train,zero_terms,,0.0
21,train,softmax_collapse,,0.20636992156505585
