epoch,input_type,metric_name,layer,value
0,train,loss,,4.727002751324826
0,test,loss,,4.727819960302736
0,train,accuracy,,0.00816737525173417
0,test,accuracy,,0.010180109631949883
0,general,weights_l2,layers.0.weight,8.174010276794434
0,general,weights_l2,layers.1.weight,8.17453670501709
0,general,weights_l2,layers.2.weight,6.123414516448975
0,train,zero_terms,,0.0
0,train,softmax_collapse,,0.0
1,train,loss,,0.21935672486821123
1,test,loss,,5.293611949354048
1,train,accuracy,,0.999776236294473
1,test,accuracy,,0.05742625946228139
1,general,weights_l2,layers.0.weight,46.863704681396484
1,general,weights_l2,layers.1.weight,48.64397048950195
1,general,weights_l2,layers.2.weight,40.88364791870117
1,train,zero_terms,,0.0
1,train,softmax_collapse,,0.0
2,train,loss,,0.0023617673717526476
2,test,loss,,3.822109359610761
2,train,accuracy,,1.0
2,test,accuracy,,0.2618115374575829
2,general,weights_l2,layers.0.weight,53.77626037597656
2,general,weights_l2,layers.1.weight,57.1010627746582
2,general,weights_l2,layers.2.weight,48.005611419677734
2,train,zero_terms,,0.0
2,train,softmax_collapse,,0.0
3,train,loss,,0.00011110739099669203
3,test,loss,,3.0156676757650063
3,train,accuracy,,1.0
3,test,accuracy,,0.4092926128948055
3,general,weights_l2,layers.0.weight,57.095542907714844
3,general,weights_l2,layers.1.weight,61.2728385925293
3,general,weights_l2,layers.2.weight,51.48699951171875
3,train,zero_terms,,0.0
3,train,softmax_collapse,,0.0
4,train,loss,,6.268227560998124e-06
4,test,loss,,2.4020727952873306
4,train,accuracy,,1.0
4,test,accuracy,,0.5217958757504568
4,general,weights_l2,layers.0.weight,59.71551513671875
4,general,weights_l2,layers.1.weight,64.60409545898438
4,general,weights_l2,layers.2.weight,54.25474166870117
4,train,zero_terms,,0.0
4,train,softmax_collapse,,0.0
5,train,loss,,3.827152093910063e-07
5,test,loss,,1.913707108869993
5,train,accuracy,,1.0
5,test,accuracy,,0.6157661185069172
5,general,weights_l2,layers.0.weight,61.95273971557617
5,general,weights_l2,layers.1.weight,67.46392059326172
5,general,weights_l2,layers.2.weight,56.625267028808594
5,train,zero_terms,,0.0
5,train,softmax_collapse,,0.0
6,train,loss,,2.455459591735113e-08
6,test,loss,,1.526183199544827
6,train,accuracy,,1.0
6,test,accuracy,,0.692247454972592
6,general,weights_l2,layers.0.weight,63.929622650146484
6,general,weights_l2,layers.1.weight,69.99579620361328
6,general,weights_l2,layers.2.weight,58.720794677734375
6,train,zero_terms,,0.0
6,train,softmax_collapse,,0.0
7,train,loss,,1.6276325057040421e-09
7,test,loss,,1.2209414150917373
7,train,accuracy,,1.0
7,test,accuracy,,0.75306708431219
7,general,weights_l2,layers.0.weight,65.71515655517578
7,general,weights_l2,layers.1.weight,72.287353515625
7,general,weights_l2,layers.2.weight,60.61566925048828
7,train,zero_terms,,0.0
7,train,softmax_collapse,,0.0
8,train,loss,,1.1038091719723796e-10
8,test,loss,,0.9823804885734221
8,train,accuracy,,1.0
8,test,accuracy,,0.8055338031845471
8,general,weights_l2,layers.0.weight,67.3460464477539
8,general,weights_l2,layers.1.weight,74.38255310058594
8,general,weights_l2,layers.2.weight,62.346378326416016
8,train,zero_terms,,0.0
8,train,softmax_collapse,,0.0
9,train,loss,,7.645928543547477e-12
9,test,loss,,0.7956772143608482
9,train,accuracy,,1.0
9,test,accuracy,,0.8389454450535109
9,general,weights_l2,layers.0.weight,68.85108947753906
9,general,weights_l2,layers.1.weight,76.31949615478516
9,general,weights_l2,layers.2.weight,63.94471740722656
9,train,zero_terms,,0.00011188185276348176
9,train,softmax_collapse,,0.00011188185453647748
10,train,loss,,5.394879739476889e-13
10,test,loss,,0.6511443523784187
10,train,accuracy,,1.0
10,test,accuracy,,0.8715740015661707
10,general,weights_l2,layers.0.weight,70.25517272949219
10,general,weights_l2,layers.1.weight,78.12865447998047
10,general,weights_l2,layers.2.weight,65.43653106689453
10,train,zero_terms,,0.002797046319087044
10,train,softmax_collapse,,0.0030208099633455276
11,train,loss,,3.8504666002961396e-14
11,test,loss,,0.5368338049389343
11,train,accuracy,,1.0
11,test,accuracy,,0.8935003915426781
11,general,weights_l2,layers.0.weight,71.57594299316406
11,general,weights_l2,layers.1.weight,79.83133697509766
11,general,weights_l2,layers.2.weight,66.83985137939453
11,train,zero_terms,,0.012418885656746476
11,train,softmax_collapse,,0.012418885715305805
12,train,loss,,2.7763525299403307e-15
12,test,loss,,0.44513405083424845
12,train,accuracy,,1.0
12,test,accuracy,,0.912033411641869
12,general,weights_l2,layers.0.weight,72.82105255126953
12,general,weights_l2,layers.1.weight,81.43688201904297
12,general,weights_l2,layers.2.weight,68.16350555419922
12,train,zero_terms,,0.04575967778026404
12,train,softmax_collapse,,0.04620720446109772
13,train,loss,,1.8823360612183505e-16
